SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T13:20:09.974Z
sessionDurationMs,552908
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,7000/7000/7000
itiMs,150
stimulusMs,2000
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx,pointerLockActive
2,34,14,287524,done,done,1,8317,5317,0,3,5,8,"1,2;2,0;0,1;4,4;3,2;4,1;4,2;2,1","4,1;4,2;3,2;2,1;2,0;1,2;0,1;4,4",8,0,0,1,684;1152;1636;2188;2755;3477;4021;4764,0,588,287,90,1
2,35,15,296007,done,done,1,8334,5334,0,3,5,8,"0,3;0,0;3,4;4,1;3,0;4,3;3,3;0,2","4,3;3,3;3,4;0,3;0,2;0,0;3,0;4,1",8,0,0,1,693;1162;1575;2246;2721;3484;4102;4520,0,588,287,90,1
2,36,16,304506,done,done,1,8015,5015,0,3,5,8,"4,0;3,3;3,4;1,0;0,1;1,4;0,3;4,4","3,3;3,4;4,4;4,0;1,0;0,1;0,3;1,4",8,0,0,1,563;961;1318;2213;2885;3397;3977;4411,0,588,287,90,1
2,37,17,312674,done,done,-1,7976,4976,0,3,5,8,"0,2;2,1;1,1;0,0;1,3;4,2;1,0;3,4","4,2;3,4;0,2;1,3;1,1;1,0;0,0",7,1,0,0.875,655;1357;2127;2558;3083;3551;3964,0,588,287,90,1
2,38,18,320807,done,done,1,8687,5687,0,3,5,8,"0,4;3,4;2,1;4,2;1,2;3,0;3,2;4,1","3,4;0,4;4,1;4,2;3,2;3,0;2,1;1,2",8,0,0,1,724;1331;2169;2621;3077;3839;4343;4919,0,588,287,90,1
2,39,19,329656,done,done,1,8020,5020,0,3,5,8,"2,3;0,0;2,4;3,1;3,4;4,1;4,4;0,2","2,3;2,4;3,4;4,4;0,2;0,0;3,1;4,1",8,0,0,1,508;932;1330;1693;2552;3118;3765;4206,0,588,287,90,1
2,40,20,337840,done,done,1,8170,5170,0,3,5,8,"0,4;3,0;2,2;1,1;3,1;3,4;4,1;2,1","0,4;3,4;1,1;2,1;3,1;4,1;3,0;2,2",8,0,0,1,696;1443;2270;2646;3033;3395;3874;4445,0,588,287,90,1
3,41,1,355356,done,done,-1,8017,5017,0,1,6,8,"0,3;2,4;3,2;1,1;1,4;5,5;1,3;2,3","2,3;1,3;0,3;1,4;2,4;3,2;2,1;5,5",7,1,1,0.875,673;1066;1504;2062;2458;3155;3680;4380,0,543,242,90,1
3,42,2,363539,done,done,1,8297,5297,0,1,6,8,"1,1;2,5;2,4;5,2;2,3;2,2;2,1;0,3","1,1;2,1;2,2;2,3;2,4;2,5;0,3;5,2",8,0,0,1,677;1094;1514;1962;2401;2800;3513;4361,0,543,242,90,1
3,43,3,371989,done,done,1,8816,5816,0,1,6,8,"0,5;0,4;2,5;3,4;3,2;5,3;3,3;4,4","0,4;0,5;4,4;3,4;3,3;3,2;5,3;2,5",8,0,0,1,719;1216;1905;2304;2928;3428;4019;4725,1,543,242,90,1
3,44,4,380972,done,done,1,8771,5771,0,1,6,8,"4,4;3,5;2,1;2,4;5,3;0,4;1,3;4,2","0,4;1,3;2,4;3,5;4,4;5,3;4,2;2,1",8,0,0,1,722;1160;1687;2274;3021;3446;3928;4674,0,543,242,90,1
3,45,5,389905,done,done,1,8178,5178,0,1,6,8,"5,3;1,3;4,2;4,4;3,1;3,4;3,2;1,4","3,1;3,2;4,2;5,3;4,4;3,4;1,4;1,3",8,0,0,1,911;1346;1774;2303;2897;3421;4023;4471,0,543,242,90,1
3,46,6,398239,done,done,1,8468,5468,0,1,6,8,"5,1;5,2;2,5;0,0;3,0;5,3;4,0;4,3","2,5;0,0;3,0;4,0;5,1;5,2;5,3;4,3",8,0,0,1,746;1564;2328;2846;3352;3804;4266;4729,0,543,242,90,1
3,47,7,406872,done,done,-1,9253,6253,0,1,6,8,"1,5;4,3;2,0;2,3;3,0;4,5;3,1;0,0","0,0;1,0;2,0;3,0;3,1;2,3;4,3;2,5;4,5",7,1,2,0.875,639;1177;2107;2515;2927;3471;4038;4719;5265,1,543,242,90,1
3,48,8,416289,done,done,-1,9788,6788,0,2,6,9,"5,0;1,1;2,1;0,2;0,1;4,1;4,0;3,4;2,2","3,3;2,2;2,1;1,1;0,1;0,2;4,0;4,1;5,1",7,2,2,0.778,1403;1967;2419;2852;3782;4244;5054;5468;5887,1,543,242,90,1
3,49,9,426238,done,done,-1,9794,6794,0,2,6,9,"2,0;0,4;3,0;1,5;3,2;0,0;3,4;1,0;4,5","1,5;0,4;4,5;3,4;3,0;2,0;1,0;0,0;3,1",8,1,1,0.889,812;1300;2014;2553;3368;3813;4252;4700;5464,0,543,242,90,1
3,50,10,436188,done,done,-1,8098,5098,0,2,6,9,"4,0;1,2;0,2;1,5;2,4;4,4;0,1;2,1;3,2","3,2;2,1;1,2;0,2;0,1;4,0;4,4;2,5",7,2,1,0.778,691;1187;1608;2055;2474;3404;4007;4525,0,543,242,90,1
3,51,11,444438,done,done,-1,8435,5435,0,2,6,9,"4,1;5,3;2,2;5,2;4,3;1,2;3,0;3,4;1,1","1,1;1,2;2,2;5,2;5,3;4,3;4,1;3,0;2,5",8,1,1,0.889,719;1174;1587;2170;2627;3090;3584;4161;4910,0,543,242,90,1
3,52,12,453038,done,done,1,8819,5819,0,2,6,9,"5,2;5,4;0,2;3,0;3,4;2,0;2,1;4,0;0,4","2,1;2,0;3,0;4,0;5,2;5,4;3,4;0,4;0,2",9,0,0,1,646;1079;1494;1900;2675;3166;3724;4300;4902,0,543,242,90,1
3,53,13,462021,done,done,-1,9031,6031,0,2,6,9,"5,1;1,2;3,5;1,4;0,3;2,2;1,1;5,5;4,4","3,5;4,4;4,5;1,4;0,3;5,1;1,1;1,2;2,2",8,1,1,0.889,678;1114;1528;2247;2668;3520;4226;4696;5076,0,543,242,90,1
3,54,14,471203,timeout,done,0,10000,7000,0,3,6,10,"1,2;0,3;5,2;1,0;4,5;5,5;1,1;3,3;4,0;3,1","4,5;5,5;1,2;1,1;1,0;0,3;5,1;3,0;3,2;4,3",6,4,4,0.6,905;1338;2115;2542;3019;3639;4516;5217;5682;6173,0,543,242,90,1
3,55,15,481372,timeout,done,0,10000,7000,0,3,6,10,"2,0;5,4;0,3;1,5;5,2;4,3;2,1;1,0;4,0;5,3","4,0;1,0;2,0;2,1;5,2;5,3;5,4;4,3;1,4;2,5;0,3",9,1,2,0.9,637;1210;1573;2028;2895;3363;3772;4263;4986;5407;6129,0,543,242,90,1
3,56,16,491554,done,done,-1,8372,5372,0,3,6,10,"2,1;1,0;1,1;5,0;5,5;4,1;3,0;2,5;3,5;2,4","5,0;4,1;3,0;2,1;1,1;1,0;5,5;4,5;3,5",8,2,1,0.8,795;1270;1791;2227;2692;3129;3797;4198;4655,0,543,242,90,1
3,57,17,500087,done,done,1,9869,6869,0,3,6,10,"0,5;4,5;4,4;5,2;4,1;0,3;3,1;4,3;2,3;2,4","0,3;2,3;2,4;0,5;4,5;4,4;4,3;5,2;4,1;3,1",10,0,0,1,741;1432;1861;2369;3097;3596;4111;4566;5036;5413,0,543,242,90,1
3,58,18,510120,done,done,-1,8963,5963,0,3,6,10,"0,3;1,4;4,0;3,3;3,0;1,1;2,2;0,4;0,2;2,0","4,0;3,0;2,0;1,0;0,1;0,2;0,3;0,4;1,4;2,2",8,2,2,0.8,737;1159;1557;1943;2413;2852;3300;3720;4140;5011,0,543,242,90,1
3,59,19,519238,done,done,-1,9423,6423,0,3,6,10,"0,3;4,2;2,1;1,1;1,2;4,3;0,1;3,4;5,5;2,0","5,5;3,4;4,3;4,2;2,0;1,0;1,1;0,2;1,2",7,3,2,0.7,776;1432;1948;2422;3399;3851;4290;4740;5420,0,543,242,90,1
3,60,20,528821,done,done,1,9521,6521,0,3,6,10,"0,0;1,0;2,4;4,5;5,5;5,4;1,5;0,1;2,5;0,5","2,4;2,5;1,5;0,5;0,1;0,0;1,0;5,4;5,5;4,5",10,0,0,1,627;1054;1501;1899;2627;3096;3503;4401;4837;5805,0,543,242,90,1
