SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,chalkboardChallenge
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T13:39:48.360Z
sessionDurationMs,385115
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,6000/5000/4000
diffRatioBands,0.3-0.6/0.15-0.3/0.1-0.15
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,leftExpr,rightExpr,leftValue,rightValue,diffRatio,operators,nTermsLeft,nTermsRight,hasPrecedence
2,43,3,103207,left,left,1,3767,3767,0,2 * 21 - 17,11 + 9,25,20,0.2,"+,-,*",3,2,1
2,44,4,107140,timeout,right,0,5000,5000,0,23 - 30 + 34,11 - 7 + 29,27,33,0.1818,"+,-",3,3,0
2,45,5,112306,right,right,1,2460,2460,0,46 + 22 + 20,25 * 3 + 32,88,107,0.1776,"+,*",3,3,1
2,46,6,114923,left,left,1,4092,4092,0,10 + 38 + 46,47 + 11 + 21,94,79,0.1596,+,3,3,0
2,47,7,119173,left,left,1,3121,3121,0,31 + 14 + 40,20 * 3,85,60,0.2941,"+,*",3,2,0
2,48,8,122456,right,right,1,3086,3086,0,35 - 15,19 + 6,20,25,0.2,"+,-",2,2,0
2,49,9,125706,left,left,1,4593,4593,0,30 * 5 - 13,4 * 31 - 25,137,99,0.2774,"-,*",3,3,1
2,50,10,130457,timeout,left,0,5000,5000,0,41 * 4,6 * 23,164,138,0.1585,*,2,2,0
2,51,11,135622,right,right,1,231,231,0,15 + 10,11 + 43 - 24,25,30,0.1667,"+,-",2,3,0
2,52,12,136006,timeout,left,0,5000,5000,0,41 * 8,46 + 31 * 7,328,263,0.1982,"+,*",2,3,1
2,53,13,141173,left,left,1,43,43,1,38 + 41 + 20,18 * 4,99,72,0.2727,"+,*",3,2,0
2,54,14,141373,left,right,-1,4697,4697,0,3 * 33,6 * 30 - 45,99,135,0.2667,"-,*",2,3,1
2,55,15,146223,right,right,1,3332,3332,0,3 + 44 + 27,2 * 50,74,100,0.26,"+,*",3,2,0
2,56,16,149706,left,left,1,3641,3641,0,29 + 3 * 30,18 + 34 * 2,119,86,0.2773,"+,*",3,3,1
2,57,17,153506,left,left,1,4554,4554,0,22 * 8 - 19,16 * 8,157,128,0.1847,"-,*",3,2,1
2,58,18,158223,right,right,1,3504,3504,0,3 * 29 - 37,21 + 50,50,71,0.2958,"+,-,*",3,2,1
2,59,19,161889,right,right,1,1811,1811,0,41 - 2 - 6,40 + 2,33,42,0.2143,"+,-",3,2,0
2,60,20,163856,left,left,1,2863,2863,0,47 + 4 * 4,26 + 25,63,51,0.1905,"+,*",3,2,1
2,61,21,166872,right,right,1,2324,2324,0,36 + 5 + 49,33 + 43 + 36,90,112,0.1964,+,3,3,0
2,62,22,169356,right,right,1,3938,3938,0,5 * 47 - 22,30 * 9,213,270,0.2111,"-,*",3,2,1
2,63,23,173456,right,right,1,3382,3382,0,33 + 36,48 - 1 + 45,69,92,0.25,"+,-",2,3,0
2,64,24,176989,right,right,1,2946,2946,0,6 + 29 + 18,25 + 46,53,71,0.2535,+,3,2,0
2,65,25,180089,left,left,1,2689,2689,0,37 + 4,9 * 4 - 2,41,34,0.1707,"+,-,*",2,3,1
2,66,26,182939,left,left,1,3625,3625,0,31 + 25,14 * 3,56,42,0.25,"+,*",2,2,0
2,67,27,186721,left,right,-1,2157,2157,0,44 + 49,40 * 3 - 5,93,115,0.1913,"+,-,*",2,3,1
2,68,28,189039,left,left,1,3680,3680,0,33 * 2,8 * 7,66,56,0.1515,*,2,2,0
2,69,29,192872,right,right,1,3179,3179,0,44 + 5,37 + 29,49,66,0.2576,+,2,2,0
2,70,30,196205,right,left,-1,3979,3979,0,9 + 18 - 3,2 + 26 - 10,24,18,0.25,"+,-",3,3,0
2,71,31,200339,right,right,1,3240,3240,0,2 * 16,21 + 21,32,42,0.2381,"+,*",2,2,0
2,72,32,203739,left,left,1,3877,3877,0,23 + 44,8 + 18 + 25,67,51,0.2388,+,2,3,0
2,73,33,207772,left,left,1,3296,3296,0,33 * 3 - 16,13 + 50,83,63,0.241,"+,-,*",3,2,1
2,74,34,211221,right,right,1,3201,3201,0,20 + 5 + 35,49 + 34,60,83,0.2771,+,3,2,0
2,75,35,214588,timeout,right,0,5000,5000,0,30 + 7 * 35,8 * 46 - 22,275,346,0.2052,"+,-,*",3,3,1
2,76,36,219754,right,left,-1,48,48,1,39 * 5,17 * 9 + 7,195,160,0.1795,"+,*",2,3,1
2,77,37,219955,right,right,1,3382,3382,0,50 + 43 + 34,5 * 32,127,160,0.2062,"+,*",3,2,0
2,78,38,223489,right,right,1,4230,4230,0,2 * 43,4 * 22 + 30,86,118,0.2712,"+,*",2,3,1
2,79,39,227872,right,left,-1,4460,4460,0,7 * 19,28 * 4 - 13,133,99,0.2556,"-,*",2,3,1
2,80,40,232487,left,left,1,2971,2971,0,43 + 40 * 9,34 * 8 + 44,403,316,0.2159,"+,*",3,3,1
3,81,1,239672,left,right,-1,3882,3882,0,58 / 2 + 23,35 + 48 / 2,52,59,0.1186,"+,/",3,3,1
3,82,2,243704,right,right,1,2969,2969,0,12 + 2 * 44,38 + 33 + 46,100,117,0.1453,"+,*",3,3,1
3,83,3,246838,left,left,1,3671,3671,0,8 * 24 + 19,37 * 4 + 33,211,181,0.1422,"+,*",3,3,1
3,84,4,250671,timeout,left,0,4000,4000,0,50 - 2 + 7,3 * 21 - 16,55,47,0.1455,"+,-,*",3,3,1
3,85,5,254822,right,right,1,2971,2971,0,50 + 4 - 10,46 + 20 / 5,44,50,0.12,"+,-,/",3,3,1
3,86,6,257954,left,right,-1,3112,3112,0,14 * 5 + 47,49 + 2 * 41,117,131,0.1069,"+,*",3,3,1
3,87,7,261221,left,left,1,3440,3440,0,37 + 7 + 4,36 / 9 + 38,48,42,0.125,"+,/",3,3,1
3,88,8,264821,left,right,-1,3633,3633,0,10 - 27 + 47,18 / 6 + 32,30,35,0.1429,"+,-,/",3,3,1
3,89,9,268604,left,left,1,3545,3545,0,35 / 5 + 27,40 / 4 + 20,34,30,0.1176,"+,/",3,3,1
3,90,10,272305,right,right,1,3675,3675,0,43 + 10 / 2,47 - 29 + 37,48,55,0.1273,"+,-,/",3,3,1
3,91,11,276138,left,left,1,2956,2956,0,4 * 5 + 11,20 + 15 - 8,31,27,0.129,"+,-,*",3,3,1
3,92,12,279255,left,left,1,3126,3126,0,44 + 81 / 9,18 / 9 + 44,53,46,0.1321,"+,/",3,3,1
3,93,13,282538,right,right,1,3300,3300,0,18 + 39 - 22,6 / 6 + 40,35,41,0.1463,"+,-,/",3,3,1
3,94,14,285988,left,left,1,2966,2966,0,38 + 12 * 2,44 + 27 / 3,62,53,0.1452,"+,*,/",3,3,1
3,95,15,289104,right,left,-1,3230,3230,0,4 * 30 - 19,3 * 24 + 17,101,89,0.1188,"+,-,*",3,3,1
3,96,16,292487,right,right,1,3489,3489,0,99 / 9 + 36,35 + 72 / 4,47,53,0.1132,"+,/",3,3,1
3,97,17,296138,right,left,-1,3316,3316,0,38 - 5 / 5,2 * 25 - 18,37,32,0.1351,"-,*,/",3,3,1
3,98,18,299604,right,right,1,3441,3441,0,2 * 24 + 37,34 + 21 + 42,85,97,0.1237,"+,*",3,3,1
3,99,19,303204,right,right,1,2847,2847,0,6 * 22 + 1,22 * 7 - 3,133,151,0.1192,"+,-,*",3,3,1
3,100,20,306204,timeout,right,0,4000,4000,0,5 + 35 + 17,6 + 46 + 15,57,67,0.1493,+,3,3,0
3,101,21,310371,right,right,1,2724,2724,0,46 - 1 + 48,49 + 13 + 43,93,105,0.1143,"+,-",3,3,0
3,102,22,313254,left,left,1,3891,3891,0,48 + 84 / 6,60 / 6 + 43,62,53,0.1452,"+,/",3,3,1
3,103,23,317303,timeout,left,0,4000,4000,0,95 / 5 + 20,60 / 6 + 25,39,35,0.1026,"+,/",3,3,1
3,104,24,321455,left,right,-1,3772,3772,0,50 + 35 / 7,32 - 1 + 33,55,64,0.1406,"+,-,/",3,3,1
3,105,25,325387,left,left,1,2941,2941,0,25 + 2 * 19,20 + 47 - 12,63,55,0.127,"+,-,*",3,3,1
3,106,26,328487,left,left,1,3957,3957,0,18 + 16 / 8,14 * 2 - 10,20,18,0.1,"+,-,*,/",3,3,1
3,107,27,332604,timeout,left,0,4000,4000,0,54 / 6 + 46,12 - 5 + 40,55,47,0.1455,"+,-,/",3,3,1
3,108,28,336770,right,right,1,3471,3471,0,1 + 17 + 13,30 + 20 / 4,31,35,0.1143,"+,/",3,3,1
3,109,29,340402,timeout,left,0,4000,4000,0,14 * 4 - 3,7 + 33 + 6,53,46,0.1321,"+,-,*",3,3,1
3,110,30,344570,left,left,1,3858,3858,0,84 / 4 + 15,8 / 8 + 30,36,31,0.1389,"+,/",3,3,1
3,111,31,348587,right,left,-1,3988,3988,0,28 - 24 / 6,4 / 2 + 19,24,21,0.125,"+,-,/",3,3,1
3,112,32,352735,left,right,-1,3805,3805,0,40 + 26 - 32,13 * 5 - 25,34,40,0.15,"+,-,*",3,3,1
3,113,33,356703,right,left,-1,2770,2770,0,8 * 6 - 1,12 + 16 + 12,47,40,0.1489,"+,-,*",3,3,1
3,114,34,359637,right,right,1,3480,3480,0,84 / 3 + 42,6 * 8 + 30,70,78,0.1026,"+,*,/",3,3,1
3,115,35,363270,right,right,1,3065,3065,0,3 * 34 - 29,11 * 4 + 38,73,82,0.1098,"+,-,*",3,3,1
3,116,36,366487,right,right,1,3515,3515,0,11 - 20 + 50,2 * 6 + 36,41,48,0.1458,"+,-,*",3,3,1
3,117,37,370152,right,left,-1,2708,2708,0,80 / 5 + 44,27 + 42 - 17,60,52,0.1333,"+,-,/",3,3,1
3,118,38,373020,left,left,1,3576,3576,0,87 / 3 - 9,85 / 5 + 1,20,18,0.1,"+,-,/",3,3,1
3,119,39,376753,right,right,1,2761,2761,0,16 + 45 - 8,15 * 2 + 31,53,61,0.1311,"+,-,*",3,3,1
3,120,40,379668,left,right,-1,3152,3152,0,54 / 3 + 25,3 * 30 - 41,43,49,0.1224,"+,-,*,/",3,3,1
