SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,brainShift
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T09:42:21.307Z
sessionDurationMs,705424
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,3000/2200/1500
switchRates,0/0.4/0.6
itiMs,200
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusNumber,stimulusColor,stimulusPosition,taskDomain,expectedCategory,switchType,labelsVisible
1,27,27,34626,yes,yes,1,690,690,0,4,orange,topLeft,number,even,repeat,1
1,28,28,35524,yes,yes,1,826,826,0,5,orange,topRight,number,odd,repeat,1
1,29,29,36554,yes,no,-1,499,499,0,5,orange,topLeft,number,even,repeat,1
1,30,30,37269,yes,yes,1,1143,1143,0,1,orange,topRight,number,odd,repeat,1
1,31,31,38615,yes,yes,1,1029,1029,0,2,blue,topLeft,number,even,repeat,1
1,32,32,39844,no,no,1,1010,1010,0,8,orange,topRight,number,odd,repeat,1
1,33,33,41058,no,no,1,877,877,0,0,orange,topRight,number,odd,repeat,1
1,34,34,42139,no,no,1,523,523,0,8,blue,topRight,number,odd,repeat,1
1,35,35,42870,yes,yes,1,1868,1868,0,6,orange,topLeft,number,even,repeat,1
1,36,36,44948,no,no,1,995,995,0,8,yellow,topRight,number,odd,repeat,1
1,37,37,46144,yes,yes,1,1438,1438,0,1,purple,topRight,number,odd,repeat,1
1,38,38,47790,no,no,1,2269,2269,0,9,orange,topLeft,number,even,repeat,1
1,39,39,50267,no,no,1,1157,1157,0,1,red,topLeft,number,even,repeat,1
1,40,40,51629,yes,yes,1,856,856,0,1,red,topRight,number,odd,repeat,1
2,41,1,100695,yes,yes,1,1313,1313,0,2,blue,topLeft,number,even,first,1
2,42,2,102225,yes,yes,1,882,882,0,9,blue,topRight,number,odd,repeat,1
2,43,3,103322,no,no,1,1113,1113,0,9,red,bottomRight,color,cool,switch,1
2,44,4,104635,yes,yes,1,1103,1103,0,4,blue,bottomRight,color,cool,repeat,1
2,45,5,105948,no,no,1,885,885,0,1,yellow,bottomRight,color,cool,repeat,1
2,46,6,107045,yes,yes,1,1211,1211,0,6,purple,bottomRight,color,cool,repeat,1
2,47,7,108458,no,no,1,1441,1441,0,5,orange,bottomRight,color,cool,repeat,1
2,48,8,110103,yes,yes,1,691,691,0,0,purple,bottomRight,color,cool,repeat,1
2,49,9,111001,yes,yes,1,790,790,0,9,red,bottomLeft,color,warm,repeat,1
2,50,10,111998,no,no,1,1442,1442,0,5,blue,topLeft,number,even,switch,1
2,51,11,113643,yes,yes,1,661,661,0,6,green,topLeft,number,even,repeat,1
2,52,12,114508,no,no,1,1164,1164,0,7,orange,bottomRight,color,cool,switch,1
2,53,13,115887,yes,no,-1,735,735,0,1,red,topLeft,number,even,switch,1
2,54,14,116835,yes,yes,1,1040,1040,0,1,yellow,bottomLeft,color,warm,switch,1
2,55,15,118082,yes,no,-1,1065,1065,0,4,orange,bottomRight,color,cool,repeat,1
2,56,16,119361,yes,yes,1,1054,1054,0,9,green,topRight,number,odd,switch,1
2,57,17,120625,yes,yes,1,935,935,0,7,orange,topRight,number,odd,repeat,1
2,58,18,121772,no,no,1,821,821,0,5,orange,topLeft,number,even,repeat,1
2,59,19,122802,yes,yes,1,1239,1239,0,6,orange,bottomLeft,color,warm,switch,1
2,60,20,124248,yes,yes,1,1747,1747,0,9,orange,bottomLeft,color,warm,repeat,1
2,61,21,126210,no,yes,-1,740,740,0,2,green,bottomRight,color,cool,repeat,1
2,62,22,127157,no,no,1,1328,1328,0,2,orange,topRight,number,odd,switch,1
2,63,23,128686,no,no,1,1040,1040,0,4,yellow,bottomRight,color,cool,switch,1
2,64,24,129933,no,no,1,819,819,0,0,red,topRight,number,odd,switch,1
2,65,25,130963,no,no,1,980,980,0,2,orange,bottomRight,color,cool,switch,1
2,66,26,132143,yes,yes,1,1182,1182,0,5,orange,bottomLeft,color,warm,repeat,1
2,67,27,133540,no,no,1,1005,1005,0,0,red,topRight,number,odd,switch,1
2,68,28,134753,yes,no,-1,1178,1178,0,1,blue,topLeft,number,even,repeat,1
2,69,29,136132,no,no,1,1673,1673,0,0,orange,topRight,number,odd,repeat,1
2,70,30,138011,no,no,1,917,917,0,8,yellow,bottomRight,color,cool,switch,1
2,71,31,139141,yes,yes,1,661,661,0,9,green,bottomRight,color,cool,repeat,1
2,72,32,140005,yes,yes,1,1049,1049,0,7,yellow,topRight,number,odd,switch,1
2,73,33,141268,no,no,1,826,826,0,0,purple,topRight,number,odd,repeat,1
2,74,34,142299,no,no,1,1422,1422,0,2,green,bottomLeft,color,warm,switch,1
2,75,35,143928,no,no,1,1770,1770,0,0,orange,topRight,number,odd,switch,1
2,76,36,145906,yes,yes,1,1256,1256,0,4,yellow,topLeft,number,even,repeat,1
2,77,37,147368,no,no,1,874,874,0,2,orange,topRight,number,odd,repeat,1
2,78,38,148449,timeout,yes,0,2200,2200,0,7,yellow,topRight,number,odd,repeat,1
2,79,39,150875,yes,yes,1,1150,1150,0,9,green,topRight,number,odd,repeat,1
2,80,40,152238,yes,yes,1,516,516,0,1,yellow,topRight,number,odd,repeat,1
3,81,1,488887,no,no,1,832,832,0,9,green,topLeft,number,even,first,0
3,82,2,489934,timeout,no,0,1500,1500,0,5,purple,bottomLeft,color,warm,switch,0
3,83,3,491663,no,no,1,1271,1271,0,2,yellow,topRight,number,odd,switch,0
3,84,4,493142,yes,no,-1,1005,1005,0,9,red,bottomRight,color,cool,switch,0
3,85,5,494355,no,no,1,1025,1025,0,5,red,topLeft,number,even,switch,0
3,86,6,495585,yes,yes,1,939,939,0,5,red,topRight,number,odd,repeat,0
3,87,7,496732,no,no,1,1041,1041,0,6,red,bottomRight,color,cool,switch,0
3,88,8,497979,yes,yes,1,1173,1173,0,4,purple,topLeft,number,even,switch,0
3,89,9,499358,no,no,1,763,763,0,8,purple,topRight,number,odd,repeat,0
3,90,10,500322,no,no,1,990,990,0,4,blue,bottomLeft,color,warm,switch,0
3,91,11,501519,no,no,1,966,966,0,2,red,topRight,number,odd,switch,0
3,92,12,502699,yes,yes,1,1298,1298,0,0,blue,bottomRight,color,cool,switch,0
3,93,13,504212,yes,yes,1,695,695,0,1,blue,bottomRight,color,cool,repeat,0
3,94,14,505109,no,no,1,683,683,0,2,red,bottomRight,color,cool,repeat,0
3,95,15,506007,yes,yes,1,1039,1039,0,2,purple,topLeft,number,even,switch,0
3,96,16,507253,yes,yes,1,700,700,0,6,purple,topLeft,number,even,repeat,0
3,97,17,508167,no,yes,-1,1124,1124,0,9,green,bottomRight,color,cool,switch,0
3,98,18,509497,no,no,1,1011,1011,0,5,orange,bottomRight,color,cool,repeat,0
3,99,19,510711,no,no,1,1265,1265,0,6,red,topRight,number,odd,switch,0
3,100,20,512190,no,no,1,1198,1198,0,9,red,topLeft,number,even,repeat,0
3,101,21,513603,no,yes,-1,1098,1098,0,9,blue,topRight,number,odd,repeat,0
3,102,22,514915,yes,yes,1,615,615,0,3,blue,topRight,number,odd,repeat,0
3,103,23,515730,no,yes,-1,707,707,0,0,orange,topLeft,number,even,repeat,0
3,104,24,516644,no,no,1,1093,1093,0,7,blue,bottomLeft,color,warm,switch,0
3,105,25,517941,yes,yes,1,1376,1376,0,9,blue,topRight,number,odd,switch,0
3,106,26,519520,no,no,1,1069,1069,0,9,green,bottomLeft,color,warm,switch,0
3,107,27,520800,no,no,1,779,779,0,3,blue,bottomLeft,color,warm,repeat,0
3,108,28,521780,yes,yes,1,1045,1045,0,9,orange,topRight,number,odd,switch,0
3,109,29,523027,timeout,yes,0,1500,1500,0,0,yellow,bottomLeft,color,warm,switch,0
3,110,30,524756,yes,yes,1,815,815,0,1,blue,topRight,number,odd,switch,0
3,111,31,525786,no,no,1,1471,1471,0,4,green,bottomLeft,color,warm,switch,0
3,112,32,527465,yes,yes,1,923,923,0,6,red,bottomLeft,color,warm,repeat,0
3,113,33,528595,yes,yes,1,768,768,0,9,yellow,bottomLeft,color,warm,repeat,0
3,114,34,529576,yes,yes,1,881,881,0,9,blue,bottomRight,color,cool,repeat,0
3,115,35,530673,yes,yes,1,690,690,0,7,green,topRight,number,odd,switch,0
3,116,36,531570,no,no,1,1239,1239,0,0,yellow,bottomRight,color,cool,switch,0
3,117,37,533016,no,no,1,794,794,0,6,blue,bottomLeft,color,warm,repeat,0
3,118,38,534014,yes,yes,1,1124,1124,0,5,red,bottomLeft,color,warm,repeat,0
3,119,39,535343,yes,yes,1,749,749,0,8,blue,topLeft,number,even,switch,0
3,120,40,536308,no,no,1,1264,1264,0,6,blue,bottomLeft,color,warm,switch,0
