SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T08:57:04.631Z
sessionDurationMs,556497
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,7000/7000/7000
itiMs,150
stimulusMs,2000
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx,pointerLockActive
2,35,15,309847,done,done,1,9129,6129,0,3,5,8,"3,4;3,0;0,1;0,0;1,1;1,2;2,1;0,4","3,4;0,4;3,0;0,0;0,1;1,1;2,1;1,2",8,0,0,1,799;1739;2626;3466;3758;4173;5013;5420,0,592,256,90,1
2,36,16,319131,done,done,1,8189,5189,0,3,5,8,"1,0;3,3;3,2;0,1;0,4;1,1;0,2;0,0","3,2;3,3;0,4;0,2;0,1;0,0;1,0;1,1",8,0,0,1,599;927;1939;2674;3153;3491;4136;4436,0,592,256,90,1
2,37,17,327481,done,done,1,7572,4572,0,3,5,8,"1,1;4,0;2,2;2,3;3,4;1,2;3,3;3,1","4,0;3,1;1,1;1,2;2,2;2,3;3,3;3,4",8,0,0,1,807;1217;1922;2243;2593;3060;3499;3845,0,592,256,90,1
2,38,18,335214,done,done,1,8823,5823,0,3,5,8,"0,4;4,0;3,1;4,1;1,2;2,1;2,0;3,2","0,4;1,2;3,2;2,1;2,0;3,1;4,1;4,0",8,0,0,1,1065;1869;2531;3034;3477;3847;4312;4639,1,592,256,90,1
2,39,19,344197,done,done,1,8199,5199,0,3,5,8,"3,3;1,3;1,1;4,2;2,2;0,4;1,4;2,0","2,0;1,1;2,2;3,3;4,2;1,3;1,4;0,4",8,0,0,1,860;1245;1742;2272;2722;3553;3920;4302,1,592,256,90,1
2,40,20,352547,done,done,1,8389,5389,0,3,5,8,"1,3;0,0;3,4;2,4;4,2;4,0;1,2;1,1","4,0;4,2;3,4;2,4;1,3;1,2;1,1;0,0",8,0,0,1,878;1483;2088;2599;3211;3601;3870;4483,0,592,256,90,1
3,41,1,364497,timeout,done,0,10000,7000,0,1,6,8,"4,4;5,1;0,2;3,2;2,1;3,5;1,1;4,2","4,4;3,5;5,1;4,2;3,2;2,1;1,1;1,2;0,2",8,0,1,1,837;1504;2228;2635;2995;3542;4291;4820;5578,0,553,217,88,1
3,42,2,374681,done,done,-1,9111,6111,0,1,6,8,"2,0;1,3;4,3;3,0;5,1;2,5;1,2;5,4","5,1;4,3;5,4;2,5;1,4;1,3;2,0;3,0",7,1,1,0.875,811;1423;1935;3188;3725;4177;4725;5041,0,553,217,88,1
3,43,3,383947,done,done,-1,9845,6845,0,1,6,8,"1,0;3,3;0,5;4,2;3,1;3,5;5,1;0,3","3,5;1,5;0,2;2,0;5,1;3,3;4,2;3,1",5,3,3,0.625,1145;1661;2211;2805;3742;4705;5138;5790,1,553,217,88,1
3,44,4,393947,done,done,1,9657,6657,0,1,6,8,"4,3;3,0;3,4;1,5;2,2;1,3;0,4;5,5","3,0;2,2;1,3;0,4;1,5;4,3;3,4;5,5",8,0,0,1,918;1481;2316;2929;3552;4869;5386;5928,0,553,217,88,1
3,45,5,403763,done,done,1,8622,5622,0,1,6,8,"1,1;0,0;3,4;3,5;2,2;3,3;1,5;4,3","4,3;3,3;3,4;3,5;2,2;1,1;0,0;1,5",8,0,0,1,735;1181;1505;2006;2690;3203;3801;4860,0,553,217,88,1
3,46,6,412547,done,done,-1,9753,6753,0,1,6,8,"4,0;1,3;2,0;4,2;4,1;5,0;2,3;1,2","2,3;1,3;1,2;4,2;4,1;4,0;5,1;2,0;5,0",8,0,1,1,617;1077;1634;2634;3035;3498;4088;4703;5460,0,553,217,88,1
3,47,7,422463,done,done,1,8634,5634,0,1,6,8,"4,1;1,4;0,5;5,5;2,3;0,3;4,5;4,2","4,1;4,2;5,5;4,5;2,3;1,4;0,3;0,5",8,0,0,1,929;1248;2052;2603;3343;3825;4402;4953,0,553,217,88,1
3,48,8,431263,done,done,1,8985,5985,0,2,6,9,"0,4;3,0;4,4;5,3;0,0;2,2;1,0;1,2;5,5","1,0;0,0;1,2;2,2;3,0;0,4;5,3;4,4;5,5",9,0,0,1,702;1166;1681;2272;2787;3705;4552;4965;5443,0,553,217,88,1
3,49,9,440413,done,done,-1,8663,5663,0,2,6,9,"0,3;2,0;5,2;1,3;3,4;5,4;4,5;1,2;4,1","3,4;4,5;5,4;5,2;4,1;2,0;0,2;1,2;1,3",8,1,1,0.889,716;1123;1612;2083;2662;3294;3938;4320;4799,0,553,217,88,1
3,50,10,449230,done,done,-1,9036,6036,0,2,6,9,"3,1;2,0;1,1;1,2;4,1;1,3;5,1;5,4;2,4","2,4;1,3;1,2;1,1;2,0;3,1;4,1;5,1;5,3",8,1,1,0.889,662;1334;2140;2622;3202;3799;4204;4730;5282,0,553,217,88,1
3,51,11,458429,done,done,-1,9527,6527,0,2,6,9,"4,3;1,0;0,4;5,1;2,0;3,0;0,2;1,5;5,0","1,5;0,4;0,2;4,3;5,1;5,2;4,0;3,0;2,0",7,2,2,0.778,754;1267;1838;2529;3173;4177;4761;5131;5518,0,553,217,88,1
3,52,12,468113,done,done,-1,8532,5532,0,2,6,9,"0,0;4,0;2,4;3,3;4,4;0,1;3,0;2,0;1,5","4,4;3,3;2,4;1,5;0,1;0,2;2,0;3,0;4,0",8,1,1,0.889,930;1380;1815;2189;2913;3267;3913;4268;4577,0,553,217,88,1
3,53,13,476796,done,done,-1,8681,5681,0,2,6,9,"1,2;2,4;1,3;2,0;4,5;0,2;4,1;5,2;4,4","2,0;4,1;5,2;0,2;1,2;2,3;4,5;4,4;3,4",7,2,2,0.778,836;1457;1770;2594;3069;3517;4355;4760;5071,0,553,217,88,1
3,54,14,485630,timeout,done,0,10000,7000,0,3,6,10,"1,4;1,5;3,2;3,1;0,5;0,3;4,0;0,2;5,5;3,0","0,2;0,3;1,4;1,5;0,5;4,0;3,0;3,1;3,2;5,5",10,0,0,1,1114;1393;2090;2443;2907;3758;4747;5077;5459;6175,1,553,217,88,1
3,55,15,495813,done,done,-1,9019,6019,0,3,6,10,"0,4;4,4;2,0;5,5;0,1;4,2;3,0;0,3;2,4;5,3","5,5;4,4;5,3;4,2;3,0;2,0;0,2;0,3;1,4;2,2",7,3,3,0.7,955;1406;1921;2349;2953;3318;3809;4103;4518;5324,0,553,217,88,1
3,56,16,504996,timeout,done,0,10000,7000,0,3,6,10,"0,1;5,0;3,1;3,0;3,5;1,4;0,2;1,2;4,5;0,0","1,4;3,5;4,5;5,0;3,0;3,1;0,0;0,1;0,2;1,2",10,0,0,1,1078;1945;2346;3154;3813;4080;5077;5401;5809;6780,0,553,217,88,1
3,57,17,515179,done,done,-1,9053,6053,0,3,6,10,"2,0;0,1;1,3;5,1;1,4;5,5;3,0;5,0;0,3;3,5","5,0;5,1;3,0;2,0;0,1;0,4;1,4;1,5;5,5;4,4",7,3,3,0.7,765;1021;1562;1870;2390;3288;3618;3906;4732;5190,1,553,217,88,1
3,58,18,524396,timeout,done,0,10000,7000,0,3,6,10,"0,3;1,3;5,2;3,2;1,5;2,3;2,5;3,1;3,4;4,2","1,5;2,5;3,4;2,3;1,4;1,3;0,3;5,2;4,2;3,2;3,1",10,0,1,1,838;1205;1773;2415;2848;3543;3793;4862;5271;5620;6084,0,553,217,88,1
3,59,19,534596,done,done,-1,8727,5727,0,3,6,10,"0,1;2,0;3,3;0,0;4,1;4,2;0,4;2,4;5,5;5,1","0,0;0,1;2,0;5,2;4,2;3,3;2,4;0,4;5,5",8,2,1,0.8,899;1163;1747;2329;2679;3046;3719;4037;4688,1,553,217,88,1
3,60,20,543479,done,done,-1,9414,6414,0,3,6,10,"3,0;5,0;2,3;3,4;3,5;2,2;4,5;0,0;5,5;5,1","3,0;5,0;5,1;3,4;3,5;4,5;5,5;2,3;1,1;0,1",8,2,2,0.8,713;1269;2114;2994;3271;3603;3924;4553;5033;5277,1,553,217,88,1
